scores,apple,steps,time per apple
28.0,462,25472,16.5
4.0,115,25587,28.75
16.0,253,25840,15.8125
3.0,54,25894,18.0
6.0,83,25977,13.833333333333334
18.0,313,26290,17.38888888888889
18.0,289,26579,16.055555555555557
18.0,275,26854,15.277777777777779
12.0,213,27067,17.75
25.0,431,27498,17.24
5.0,68,27566,13.6
9.0,141,27707,15.666666666666666
15.0,244,27951,16.266666666666666
28.0,528,28479,18.857142857142858
15.0,249,28728,16.6
4.0,90,28818,22.5
5.0,69,28887,13.8
10.0,153,29040,15.3
16.0,262,29302,16.375
10.0,186,29488,18.6
19.0,299,29787,15.736842105263158
25.0,456,30243,18.24
14.0,236,30479,16.857142857142858
15.0,234,30713,15.6
15.0,261,30974,17.4
4.0,37,31011,9.25
6.0,105,31116,17.5
3.0,45,31161,15.0
21.0,332,31493,15.80952380952381
4.0,55,31548,13.75
2.0,49,31597,24.5
1.0,18,31615,18.0
0.0,20,31635,inf
8.0,130,31765,16.25
15.0,235,32000,15.666666666666666
10.0,201,32201,20.1
5.0,43,32244,8.6
13.0,246,32490,18.923076923076923
2.0,36,32526,18.0
2.0,37,32563,18.5
3.0,106,32669,35.333333333333336
5.0,107,32776,21.4
19.0,297,33073,15.631578947368421
12.0,176,33249,14.666666666666666
17.0,260,33509,15.294117647058824
28.0,490,33999,17.5
23.0,338,34337,14.695652173913043
15.0,210,34547,14.0
13.0,192,34739,14.76923076923077
32.0,500,35239,15.625
15.0,233,35472,15.533333333333333
34.0,608,36080,17.88235294117647
38.0,662,36742,17.42105263157895
13.0,255,36997,19.615384615384617
8.0,110,37107,13.75
18.0,293,37400,16.27777777777778
17.0,266,37666,15.647058823529411
29.0,472,38138,16.275862068965516
11.0,111,38249,10.090909090909092
12.0,133,38382,11.083333333333334
26.0,453,38835,17.423076923076923
21.0,325,39160,15.476190476190476
2.0,19,39179,9.5
21.0,368,39547,17.523809523809526
11.0,183,39730,16.636363636363637
14.0,240,39970,17.142857142857142
12.0,232,40202,19.333333333333332
16.0,298,40500,18.625
9.0,154,40654,17.11111111111111
11.0,211,40865,19.181818181818183
12.0,182,41047,15.166666666666666
32.0,631,41678,19.71875
24.0,368,42046,15.333333333333334
24.0,407,42453,16.958333333333332
18.0,259,42712,14.38888888888889
14.0,279,42991,19.928571428571427
32.0,472,43463,14.75
16.0,225,43688,14.0625
17.0,330,44018,19.41176470588235
30.0,449,44467,14.966666666666667
25.0,494,44961,19.76
26.0,399,45360,15.346153846153847
19.0,286,45646,15.052631578947368
27.0,418,46064,15.481481481481481
23.0,345,46409,15.0
28.0,394,46803,14.071428571428571
24.0,366,47169,15.25
22.0,226,47395,10.272727272727273
22.0,335,47730,15.227272727272727
31.0,507,48237,16.35483870967742
14.0,302,48539,21.571428571428573
21.0,310,48849,14.761904761904763
14.0,203,49052,14.5
24.0,320,49372,13.333333333333334
19.0,288,49660,15.157894736842104
15.0,239,49899,15.933333333333334
20.0,302,50201,15.1
12.0,181,50382,15.083333333333334
6.0,84,50466,14.0
13.0,202,50668,15.538461538461538
18.0,254,50922,14.11111111111111
27.0,525,51447,19.444444444444443
31.0,351,51798,11.32258064516129
8.0,94,51892,11.75
15.0,273,52165,18.2
8.0,124,52289,15.5
8.0,206,52495,25.75
19.0,377,52872,19.842105263157894
8.0,114,52986,14.25
2.0,65,53051,32.5
11.0,191,53242,17.363636363636363
15.0,242,53484,16.133333333333333
18.0,279,53763,15.5
6.0,121,53884,20.166666666666668
18.0,426,54310,23.666666666666668
5.0,122,54432,24.4
21.0,421,54853,20.047619047619047
25.0,445,55298,17.8
20.0,387,55685,19.35
20.0,306,55991,15.3
27.0,536,56527,19.85185185185185
17.0,354,56881,20.823529411764707
6.0,79,56960,13.166666666666666
30.0,465,57425,15.5
20.0,343,57768,17.15
23.0,356,58124,15.478260869565217
6.0,119,58243,19.833333333333332
19.0,346,58589,18.210526315789473
22.0,615,59204,27.954545454545453
30.0,578,59782,19.266666666666666
19.0,330,60112,17.36842105263158
22.0,319,60431,14.5
26.0,396,60827,15.23076923076923
4.0,93,60920,23.25
15.0,228,61148,15.2
23.0,524,61672,22.782608695652176
12.0,217,61889,18.083333333333332
10.0,189,62078,18.9
13.0,200,62278,15.384615384615385
13.0,199,62477,15.307692307692308
3.0,61,62538,20.333333333333332
19.0,257,62795,13.526315789473685
34.0,602,63397,17.705882352941178
19.0,305,63702,16.05263157894737
11.0,205,63907,18.636363636363637
20.0,354,64261,17.7
30.0,519,64780,17.3
12.0,227,65007,18.916666666666668
2.0,33,65040,16.5
15.0,226,65266,15.066666666666666
20.0,318,65584,15.9
12.0,152,65736,12.666666666666666
14.0,294,66030,21.0
23.0,635,66665,27.608695652173914
17.0,275,66940,16.176470588235293
11.0,160,67100,14.545454545454545
1.0,67,67167,67.0
10.0,200,67367,20.0
17.0,290,67657,17.058823529411764
9.0,187,67844,20.77777777777778
5.0,257,68101,51.4
19.0,219,68320,11.526315789473685
31.0,552,68872,17.806451612903224
35.0,649,69521,18.542857142857144
31.0,757,70278,24.419354838709676
4.0,429,70707,107.25
26.0,422,71129,16.23076923076923
6.0,71,71200,11.833333333333334
5.0,63,71263,12.6
3.0,53,71316,17.666666666666668
22.0,450,71766,20.454545454545453
20.0,461,72227,23.05
36.0,786,73013,21.833333333333332
28.0,439,73452,15.678571428571429
13.0,262,73714,20.153846153846153
24.0,487,74201,20.291666666666668
7.0,151,74352,21.571428571428573
27.0,867,75219,32.111111111111114
16.0,485,75704,30.3125
1.0,22,75726,22.0
8.0,151,75877,18.875
12.0,349,76226,29.083333333333332
17.0,315,76541,18.529411764705884
1.0,24,76565,24.0
30.0,566,77131,18.866666666666667
32.0,618,77749,19.3125
6.0,131,77880,21.833333333333332
1.0,39,77919,39.0
4.0,92,78011,23.0
2.0,60,78071,30.0
21.0,483,78554,23.0
8.0,276,78830,34.5
14.0,297,79127,21.214285714285715
0.0,21,79148,inf
2.0,51,79199,25.5
5.0,121,79320,24.2
1.0,63,79383,63.0
13.0,234,79617,18.0
10.0,178,79795,17.8
1.0,59,79854,59.0
1.0,25,79879,25.0
8.0,120,79999,15.0
19.0,417,80416,21.94736842105263
1.0,36,80452,36.0
16.0,235,80687,14.6875
8.0,169,80856,21.125
15.0,269,81125,17.933333333333334
2.0,60,81185,30.0
11.0,198,81383,18.0
2.0,61,81444,30.5
2.0,80,81524,40.0
1.0,404,81928,404.0
9.0,233,82161,25.88888888888889
10.0,187,82348,18.7
28.0,482,82830,17.214285714285715
1.0,23,82853,23.0
2.0,304,83157,152.0
21.0,448,83605,21.333333333333332
15.0,281,83886,18.733333333333334
29.0,604,84490,20.82758620689655
27.0,600,85090,22.22222222222222
22.0,1060,86150,48.18181818181818
12.0,372,86522,31.0
13.0,267,86789,20.53846153846154
13.0,245,87034,18.846153846153847
4.0,72,87106,18.0
22.0,483,87589,21.954545454545453
12.0,534,88123,44.5
8.0,125,88248,15.625
11.0,217,88465,19.727272727272727
17.0,347,88812,20.41176470588235
35.0,1037,89849,29.62857142857143
21.0,714,90563,34.0
23.0,669,91232,29.08695652173913
12.0,299,91531,24.916666666666668
15.0,283,91814,18.866666666666667
6.0,89,91903,14.833333333333334
12.0,240,92143,20.0
19.0,334,92477,17.57894736842105
12.0,201,92678,16.75
21.0,279,92957,13.285714285714286
4.0,76,93033,19.0
24.0,407,93440,16.958333333333332
12.0,227,93667,18.916666666666668
11.0,140,93807,12.727272727272727
37.0,760,94567,20.54054054054054
32.0,613,95180,19.15625
19.0,392,95572,20.63157894736842
11.0,270,95842,24.545454545454547
24.0,640,96482,26.666666666666668
