"value","category"
26.375,"Tabular"
24,"Onestep"
24.5454545454545,"Vector"
20.9666666666667,"Tabular"
23.2727272727273,"Onestep"
20.1666666666667,"Vector"
24.09375,"Tabular"
20.5714285714286,"Onestep"
20.2,"Vector"
28.2173913043478,"Tabular"
26.05,"Onestep"
23.5925925925926,"Vector"
20.75,"Tabular"
19,"Onestep"
17.6666666666667,"Vector"
24.9166666666667,"Tabular"
21.7407407407407,"Onestep"
24.1923076923077,"Vector"
25.1764705882353,"Tabular"
26.9555555555556,"Onestep"
25.0357142857143,"Vector"
25.2333333333333,"Tabular"
25.4871794871795,"Onestep"
22.1724137931034,"Vector"
21.6578947368421,"Tabular"
18.8125,"Onestep"
22.9736842105263,"Vector"
24.5,"Tabular"
19.6818181818182,"Onestep"
22.025641025641,"Vector"
21.1428571428571,"Tabular"
26.4468085106383,"Onestep"
29.0769230769231,"Vector"
20.1794871794872,"Tabular"
21.2903225806452,"Onestep"
20.8571428571429,"Vector"
23.1111111111111,"Tabular"
20.625,"Onestep"
23.8333333333333,"Vector"
20.0909090909091,"Tabular"
26.05,"Onestep"
20.6923076923077,"Vector"
23.3076923076923,"Tabular"
25.2222222222222,"Onestep"
25,"Vector"
24.0454545454545,"Tabular"
20.2,"Onestep"
24.5833333333333,"Vector"
20,"Tabular"
21.7,"Onestep"
19.5714285714286,"Vector"
22.5357142857143,"Tabular"
25.2682926829268,"Onestep"
20.65,"Vector"
26.8285714285714,"Tabular"
21.2903225806452,"Onestep"
18.4230769230769,"Vector"
25.8928571428571,"Tabular"
23.8095238095238,"Onestep"
22.1190476190476,"Vector"
22.5686274509804,"Tabular"
23.8529411764706,"Onestep"
25.5,"Vector"
20.8333333333333,"Tabular"
25.6666666666667,"Onestep"
24.0204081632653,"Vector"
23.8235294117647,"Tabular"
25.0833333333333,"Onestep"
22,"Vector"
25.0357142857143,"Tabular"
23.8095238095238,"Onestep"
20.1818181818182,"Vector"
24.2647058823529,"Tabular"
18.9411764705882,"Onestep"
26.0833333333333,"Vector"
24.6923076923077,"Tabular"
23.3636363636364,"Onestep"
24.0545454545455,"Vector"
22.3076923076923,"Tabular"
19.8,"Onestep"
20.28125,"Vector"
17.3,"Tabular"
26.2173913043478,"Onestep"
23.3684210526316,"Vector"
19.2666666666667,"Tabular"
25.24,"Onestep"
23.1428571428571,"Vector"
23.4615384615385,"Tabular"
22.64,"Onestep"
25.3396226415094,"Vector"
25.4782608695652,"Tabular"
27.0645161290323,"Onestep"
23.96,"Vector"
21.6428571428571,"Tabular"
23.7272727272727,"Onestep"
24.4545454545455,"Vector"
20.8461538461538,"Tabular"
26.7435897435897,"Onestep"
23.90625,"Vector"
18.9310344827586,"Tabular"
20.3333333333333,"Onestep"
20.4615384615385,"Vector"
19.7083333333333,"Tabular"
22.1875,"Onestep"
24.7586206896552,"Vector"
22.6274509803922,"Tabular"
22.3076923076923,"Onestep"
23.8148148148148,"Vector"
23.4864864864865,"Tabular"
21.8604651162791,"Onestep"
22.78125,"Vector"
26.0714285714286,"Tabular"
23.5531914893617,"Onestep"
23.85,"Vector"
23.2571428571429,"Tabular"
22.8333333333333,"Onestep"
24.6875,"Vector"
18.375,"Tabular"
24.3103448275862,"Onestep"
20.4545454545455,"Vector"
22.2916666666667,"Tabular"
23.2121212121212,"Onestep"
20.52,"Vector"
22.6315789473684,"Tabular"
22.4,"Onestep"
24.5,"Vector"
24.1333333333333,"Tabular"
22.7333333333333,"Onestep"
21.1632653061224,"Vector"
26.025,"Tabular"
26.40625,"Onestep"
19.7058823529412,"Vector"
21.75,"Tabular"
22.8666666666667,"Onestep"
27.3333333333333,"Vector"
24.8571428571429,"Tabular"
25.4594594594595,"Onestep"
21.5217391304348,"Vector"
27.12,"Tabular"
24.88,"Onestep"
15.0588235294118,"Vector"
20.5675675675676,"Tabular"
21.48,"Onestep"
21.0666666666667,"Vector"
24.1071428571429,"Tabular"
24.2962962962963,"Onestep"
22.1428571428571,"Vector"
19.625,"Tabular"
19,"Onestep"
19.875,"Vector"
24.8536585365854,"Tabular"
19.6428571428571,"Onestep"
24.15,"Vector"
20.6666666666667,"Tabular"
27.0645161290323,"Onestep"
19.7,"Vector"
21.65,"Tabular"
20.2592592592593,"Onestep"
23.6666666666667,"Vector"
24.0810810810811,"Tabular"
26.4,"Onestep"
18.75,"Vector"
27.4117647058824,"Tabular"
21.1304347826087,"Onestep"
26.8055555555556,"Vector"
22.6060606060606,"Tabular"
21.625,"Onestep"
26.0882352941176,"Vector"
22.7755102040816,"Tabular"
23.8823529411765,"Onestep"
23.3846153846154,"Vector"
21.2173913043478,"Tabular"
24.0967741935484,"Onestep"
21.5416666666667,"Vector"
25.4,"Tabular"
23.2916666666667,"Onestep"
22.0869565217391,"Vector"
23.7083333333333,"Tabular"
23.6666666666667,"Onestep"
21.5,"Vector"
27.3414634146341,"Tabular"
23.3478260869565,"Onestep"
23.093023255814,"Vector"
22.5416666666667,"Tabular"
22.36,"Onestep"
21.6216216216216,"Vector"
22.4166666666667,"Tabular"
17.2173913043478,"Onestep"
23.3846153846154,"Vector"
22.8235294117647,"Tabular"
22.7368421052632,"Onestep"
19.3333333333333,"Vector"
24.1111111111111,"Tabular"
26.2692307692308,"Onestep"
19.4285714285714,"Vector"
24.195652173913,"Tabular"
23.2424242424242,"Onestep"
22.6060606060606,"Vector"
27.5,"Tabular"
25.4857142857143,"Onestep"
26.2954545454545,"Vector"
21.0416666666667,"Tabular"
22.625,"Onestep"
